title,authors,genre,cover,average_rating,ratings_count,summary,,num_pages,published_year,subtitle,isbn10,isbn13
Manufacturing Consent,Edward S. Herman;Noam Chomsky,Political Science,http://books.google.com/books/content?id=Z-uLd2Y6iFgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.24,12038,"Examines the political role played by the media in shaping events, assesses the relationship between the media and the corporations that control and finance them, and discusses the fine distinctions between news and propaganda.",,412,2002,The Political Economy of the Mass Media,375714499,9780375714498
Achilles in Vietnam,Jonathan Shay,Psychology,http://books.google.com/books/content?id=6EEnD9VyLa4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.24,1057,"An original and groundbreaking book that examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. In this moving, dazzlingly creative book, Dr. Shay examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. A classic of war literature that has as much relevance as ever in the wake of the wars in Iraq and Afghanistan, it is a “transcendent literary adventure” (The New York Times) and “clearly one of the most original and most important scholarly works to have emerged from the Vietnam War” (Tim O’Brien, author of The Things They Carried).",,272,1994,Combat Trauma and the Undoing of Character,684813211,9780684813219
The Psychology of Winning,Denis Waitley,Psychology,http://books.google.com/books/content?id=_CcCAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,1229,"""A heavyweight amoung motivational writers.""?Charles Paul conn, author of An Uncommon Freedom.",,176,1986,,425099997,9780425099995
The Mating Mind,Geoffrey Miller,Psychology,http://books.google.com/books/content?id=pJfoKtG1n2wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,2057,"Drawing on the latest research in evolutionary biology, a groundbreaking study of the link between evolution and human sexuality argues that the development of the human brain can be linked to the need to attract and win sexual partners. Reprint. 10,000 first printing.",,528,2000,How Sexual Choice Shaped the Evolution of Human Nature,038549517X,9780385495172
The Anatomy of Human Destructiveness,Erich Fromm,Psychology,http://books.google.com/books/content?id=YjR5Ve-zTcYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,2104,"A study of man's destructive nature that utilizes evidence from psychoanalysis, neurophysiology, animal psychology, paleontology, and anthropology and is documented with clinical examples",,576,1992,,080501604X,9780805016048
Touched With Fire,Kay Redfield Jamison,Psychology,http://books.google.com/books/content?id=265d7u5NCXAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.01,4087,"The definitive work on the profound and surprising links between manic-depression and creativity, from the bestselling psychologist of bipolar disorders who wrote An Unquiet Mind. One of the foremost psychologists in America, “Kay Jamison is plainly among the few who have a profound understanding of the relationship that exists between art and madness” (William Styron). The anguished and volatile intensity associated with the artistic temperament was once thought to be a symptom of genius or eccentricity peculiar to artists, writers, and musicians. Her work, based on her study as a clinical psychologist and researcher in mood disorders, reveals that many artists subject to exalted highs and despairing lows were in fact engaged in a struggle with clinically identifiable manic-depressive illness. Jamison presents proof of the biological foundations of this disease and applies what is known about the illness to the lives and works of some of the world's greatest artists including Lord Byron, Vincent Van Gogh, and Virginia Woolf.",,384,1996,,068483183X,9780684831831
Soul Mates,Thomas Moore,Psychology,http://books.google.com/books/content?id=7syElddx2b0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4,4122,"This companion volume to Care of the Soul offers more of Thomas Moore's inspiring wisdom and empathy as it expands on his ideas about life, love, and the mysteries of human relationships. In Care of the Soul, Thomas Moore explored the importance of nurturing the soul and struck a chord nationwide — the book became a long-term bestseller, topping charts across the country and selling 550,000 copies in hardcover and paperback combined. Building on that book's wisdom, Soul Mates, already a hardcover bestseller, explores how relationships of all kinds enhance our lives and fulfill the needs of our souls. Moore emphasizes the difficulties that inevitably accompany many relationships and focuses on the need to work through these differences in order to experience the deep reward that comes with intimacy and unconfined love.",,288,1994,,60925752,9780060925758
The Feeling Good Handbook,David D. Burns,Psychology,http://books.google.com/books/content?id=akVIQFz0Cx4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4,4666,"Discusses how to overcome fears, phobias, and panic attacks; improve intimate communication, and cope with anxiety disorders, and includes information about commonly prescribed psychiatric drugs",,729,1999,,452281326,9780452281325
The Dance of Intimacy,Harriet Lerner,Psychology,http://books.google.com/books/content?id=tTKc8Aw-GFUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06,7128,"In The Dance of Intimacy, the bestselling author of The Dance of Anger outlines the steps to take so that good relationships can be strengthened and difficult ones can be healed. Taking a careful look at those relationships where intimacy is most challenged--by distance, intensity, or pain--she teaches us about the specific changes we can make to achieve a more solid sense of self and a more intimate connectedness with others. Combining clear advice with vivid case examples, Dr. Lerner offers us the most solid, helpful book on intimate relationships that both women and men may ever encounter.",,255,1990,A Woman's Guide to Courageous Acts of Change in Key Relationships,006091646X,9780060916466
Mating in Captivity,Esther Perel,Psychology,http://books.google.com/books/content?id=-HIhMOQanIEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,7699,"A guide for loving couples who are looking to renew sexual passion in their lives explains how societal taboos and ideals about domestic equality have compromised the healthy expression of eroticism in today's relationships, in a resource that explains how to overcome personal constraints for greater intimacy. 40,000 first printing.",,272,2006,Reconciling the Erotic and the Domestic,60753633,9780060753634
The Noonday Demon,Andrew Solomon,Psychology,http://books.google.com/books/content?id=ZgbbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,8749,"Winner of the National Book Award and a Pulitzer Prize finalist, The Noonday Demon examines depression in personal, cultural, and scientific terms. Drawing on his own struggles with the illness and interviews with fellow sufferers, doctors and scientists, policy makers and politicians, drug designers and philosophers, Andrew Solomon reveals the subtle complexities and sheer agony of the disease. He confronts the challenge of defining the illness and describes the vast range of available medications, the efficacy of alternative treatments, and the impact the malady has on various demographic populations -- around the world and throughout history. He also explores the thorny patch of moral and ethical questions posed by emerging biological explanations for mental illness. With uncommon humanity, candor, wit, and erudition, award-winning author Solomon takes readers on a journey of incom-parable range and resonance into the most pervasive of family secrets. His contribution to our understanding not only of mental illness but also of the human condition is truly stunning.",,576,2002,An Atlas of Depression,684854678,9780684854670
Learned Optimism,Martin E. P. Seligman,Psychology,http://books.google.com/books/content?id=JYxIDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4,13231,"An authority on cognitive psychology and motivation documents the positive effects of optimism on the quality of life and provides a program of specific exercises designed to break the pessimism habit while developing an optimistic outlook. Reprint. 25,000 first printing.",,319,2006,How to Change Your Mind and Your Life,1400078393,9781400078394
The Blank Slate,Steven Pinker,Psychology,http://books.google.com/books/content?id=7rJ5gI1LbXoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.08,17851,"In a study of the nature versus nurture debate, one of the world's foremost experts on language and the mind explores the modern self-denial of our basic human natures.",,528,2003,The Modern Denial of Human Nature,142003344,9780142003343
How to Stop Worrying and Start Living,Dale Carnegie,Psychology,http://books.google.com/books/content?id=zHBEKfn52l4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.11,57572,"The first trade paperback edition of the classic guide to conquering the fears and worries that prevent individuals from living full and happy lives offers practical advice on how to eliminate business and financial anxieties, turn criticism into an advantage, avoid fatigue, and more. Reprint. 25,000 first printing.",,358,2004,,671035975,9780671035976
Christian Theology,Alister E. McGrath,Religion,http://books.google.com/books/content?id=tHlY94UWi3UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,1147,"Alister McGrath’s internationally-acclaimed Christian Theology: An Introduction is one of the most widely used textbooks in Christian theology. Fully revised and featuring lots of new material, this fourth edition provides an unparalleled introduction to 2,000 years of Christian thought. A fully revised new edition of the bestselling introductory textbook in Christian theology Features new sections on monastic schools of theology, the English Reformation, and Radical Orthodoxy Includes increased discussion of women in the early Church, feminist theology, Eastern Orthodox theology and history, and Catholic teachings on the Doctrine of the Church Incorporates user-friendly key terms sections, and study questions Supported by a website at www.blackwellpublishing.com/mcgrath, containing additional lecturer resources.",,534,2006,An Introduction,1405153601,9781405153607
When the Darkness Will Not Lift,John Piper,Religion,http://books.google.com/books/content?id=Xmy_-rGATuYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.12,1173,"John Piper examines depression from a spiritual perspective, guiding and encouraging those for whom joy seems to stay out of reach.",,79,2006,Doing what We Can While We Wait for God and Joy,1581348762,9781581348767
Loving God with All Your Mind,Elizabeth George,Religion,http://books.google.com/books/content?id=ZGHmmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.43,1434,"Drawing on biblical wisdom as well as personal experience, George helps women handle their emotions and discover inner peace that comes from focusing on what is true.",,276,2005,,736913823,9780736913829
Letters to Children,Clive Staples Lewis,Religion,http://books.google.com/books/content?id=jfRfxAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18,1581,A collection of letters from the English author of the Narnia books to a variety of children.,,128,1985,,805420436,9780805420432
Exclusion and Embrace,Miroslav Volf,Religion,http://books.google.com/books/content?id=Cqto7sVhTS8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.27,1895,"Life at the end of the twentieth century presents us with a disturbing reality. Otherness, the simple fact of being different in some way, has come to be defined as in and of itself evil. Miroslav Volf contends that if the healing word of the gospel is to be heard today, Christian theology must find ways of speaking that address the hatred of the other. Reaching back to the New Testament metaphor of salvation as reconciliation, Volf proposes the idea of embrace as a theological response to the problem of exclusion. Increasingly we see that exclusion has become the primary sin, skewing our perceptions of reality and causing us to react out of fear and anger to all those who are not within our (ever-narrowing) circle. In light of this, Christians must learn that salvation comes, not only as we are reconciled to God, and not only as we ""learn to live with one another,"" but as we take the dangerous and costly step of opening ourselves to the other, of enfolding him or her in the same embrace with which we have been enfolded by God. Is there any hope of embracing our enemies? Of opening the door to reconciliation? Miroslav Volf, a Yale University theologian, has won the 2002 Louisville Grawemeyer Award in Religion for his book, Exclusion & Embrace: A Theological Exploration of Identity, Otherness, and Reconciliation (Abingdon, 1996). Volf argues that ""exclusion"" of people who are alien or different is among the most intractable problems in the world today. He writes, ""It may not be too much to claim that the future of our world will depend on how we deal with identity and difference. The issue is urgent. The ghettos and battlefields throughout the world--in the living rooms, in inner cities, or on the mountain ranges--testify indisputably to its importance."" A Croatian by birth, Volf takes as a starting point for his analysis the recent civil war and ""ethnic cleansing"" in the former Yugoslavia, but he readily finds other examples of cultural, ethnic, and racial conflict to illustrate his points. And, since September 11, one can scarcely help but plug the new world players into his incisive descriptions of the dynamics of interethnic and international strife. Exclusion happens, Volf argues, wherever impenetrable barriers are set up that prevent a creative encounter with the other. It is easy to assume that ""exclusion"" is the problem or practice of ""barbarians"" who live ""over there,"" but Volf persuades us that exclusion is all too often our practice ""here"" as well. Modern western societies, including American society, typically recite their histories as ""narratives of inclusion,"" and Volf celebrates the truth in these narratives. But he points out that these narratives conveniently omit certain groups who ""disturb the integrity of their 'happy ending' plots."" Therefore such narratives of inclusion invite ""long and gruesome"" counter-narratives of exclusion--the brutal histories of slavery and of the decimation of Native American populations come readily to mind, but more current examples could also be found. Most proposed solutions to the problem of exclusion have focused on social arrangements--what kind of society ought we to create in order to accommodate individual or communal difference? Volf focuses, rather, on ""what kind of selves we need to be in order to live in harmony with others."" In addressing the topic, Volf stresses the social implications of divine self-giving. The Christian scriptures attest that God does not abandon the godless to their evil, but gives of Godself to bring them into communion. We are called to do likewise--""whoever our enemies and whoever we may be."" The divine mandate to embrace as God has embraced is summarized in Paul's injunction to the Romans: ""Welcome one another, therefore, just as Christ has welcomed you"" (Romans 15:7). Susan R. Garrett, Coordinator of the Religion Award, said that the Grawemeyer selection committee praised Volf's book on many counts. These included its profound interpretation of certain pivotal passages of Scripture and its brilliant engagement with contemporary theology, philosophy, critical theory, and feminist theory. ""Volf's focus is not on social strategies or programs but, rather, on showing us new ways to understand ourselves and our relation to our enemies. He helps us to imagine new possibilities for living against violence, injustice, and deception."" Garrett added that, although addressed primarily to Christians, Volf's theological statement opens itself to religious pluralism by upholding the importance of different religious and cultural traditions for the formation of personal and group identity. The call to ""embrace the other"" is never a call to remake the other into one's own image. Volf--who had just delivered a lecture on the topic of Exclusion and Embrace at a prayer breakfast for the United Nations when the first hijacked plane hit the World Trade Center--will present a lecture and receive his award in Louisville during the first week of April, 2002. The annual Religion Award, which includes a cash prize of $200,000, is given jointly by Louisville Presbyterian Theological Seminary and the University of Louisville to the authors or originators of creative works that contribute significantly to an understanding of ""the relationship between human beings and the divine, and ways in which this relationship may inspire or empower human beings to attain wholeness, integrity, or meaning, either individually or in community."" The Grawemeyer awards--given also by the University of Louisville in the fields of musical composition, education, psychology, and world order--honor the virtue of accessibility: works chosen for the awards must be comprehensible to thinking persons who are not specialists in the various fields.",,306,1996,"A Theological Exploration of Identity, Otherness, and Reconciliation",687002826,9780687002825
The Grace Awakening,Charles R. Swindoll,Religion,http://books.google.com/books/content?id=GZ0aPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.33,1987,"Swindoll calls all Christians to wake up and reject living in legalistic, performance-oriented bondage. He urges readers not to miss living a grace-filled life since freedom and joy--not lists, demands, and duties--await all who believe in the Lord Jesus Christ.",,306,2006,Believing in Grace Is One Thing. Living It Is Another,849911885,9780849911880
When the Heart Waits,Sue Monk Kidd,Religion,http://books.google.com/books/content?id=JlP91ei7BGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,2141,"From the Bestselling Author of The Secret Life of Bees, an Inspiring Autobiographical Account of Personal Pain, Spiritual Awakening, and Divine Grace Blending her own experiences with an intimate grasp of spirituality, Sue Monk Kidd relates the passionate and moving tale of her spiritual crisis, when life seemed to have lost meaning and her longing for a hasty escape from the pain yielded to a discipline of ""active waiting."" This PLUS edition includes a reader's guide.",,240,2006,Spiritual Direction for Life's Sacred Questions,61144894,9780061144899
The Kingdom of God Is Within You,Leo Tolstoy;Constance Garnett,Religion,http://books.google.com/books/content?id=UTw1AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.13,2256,"Banned in Russia, Tolstoy's The Kingdom of God Is Within You was deemed a threat to church and state. The culmination of a lifetime's thought, it espouses a commitment to Jesus's message of turning the other cheek. In a bold and original manner, Tolstoy shows his readers clearly why they must reject violence of any sort—even that sanctioned by the state or the church—and urges them to look within themselves to find the answers to questions of morality. In 1894, one of the first English translations of this book found its way into the hands of a young Gandhi. Inspired by its message of nonresistance to evil, the Mahatma declared it a source of ""independent thinking, profound morality, and truthfulness."" Much of this work's emotional and moral appeal lies in its emphasis on fair treatment of the poor and working class. Its view of Christianity, not as a mystic religion but as a workable philosophy originating from the words of a remarkable teacher, extends its appeal to secular and religious readers alike.",,352,2006,,486451380,9780486451381
Think on These Things,Jiddu Krishnamurti,Religion,http://books.google.com/books/content?id=QzzbmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,2288,"‘The material contained in this volume was originally presented in the form of talks to students, teachers and parents in India, but its keen penetration and lucid simplicity will be deeply meaningful to thoughtful people everywhere, of all ages, and in every walk of life. Krishnamurti examines with characteristic objectivity and insight the expressions of what we are pleased to call our culture, our education, religion, politics and tradition; and he throws much light on such basic emotions as ambition, greed and envy, the desire for security and the lust for power – all of which he shows to be deteriorating factors in human society.’ From the Editor’s Note ‘Krishnamurti’s observations and explorations of modern man’s estate are penetrating and profound, yet given with a disarming simplicity and directness. To listen to him or to read his thoughts is to face oneself and the world with an astonishing morning freshness.’ Anne Marrow Lindbergh",,258,1989,,60916095,9780060916091
"Sit, Walk, Stand",Watchman Nee,Religion,http://books.google.com/books/content?id=a2oGS75anKkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.41,2554,"An inspiring look at Ephesians and the believer's asociation with Christ, the world, and Satan. Written by the saintly Chinese pastor, Watchman Nee.",,80,1977,,842358935,9780842358934
Saint Thomas of Aquinas,Gilbert Keith Chesterton,Religion,http://books.google.com/books/content?id=1l1SE29tqDcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,2841,The acclaimed British novelist and author of Orthodoxy presents an intriguing portrait of the great Christian philosopher Saint Thomas Aquinas that explores key elements of the saint's theological works. Reprint.,,167,1956,,385090021,9780385090025
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,http://books.google.com/books/content?id=pf0mlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,2875,"One of the vital challenges facing thoughtful people today is how to read the Bible faithfully without abandoning our sense of truth and history. Reading the Bible Again for the First Time provides a much-needed solution to the problem of how to have a fully authentic yet contemporary understanding of the scriptures. Many mistakenly believe there are no choices other than fundamentalism or simply rejecting the Bible as something that can bring meaning to our lives. Answering this modern dilemma, acclaimed author Marcus Borg reveals how it is possible to reconcile the Bible with both a scientific and critical way of thinking and our deepest spiritual needs, leading to a contemporary yet grounded experience of the sacred texts. This seminal book shows you how to read the Bible as it should be examined—in an approach the author calls ""historical-metaphorical."" Borg explores what the Scriptures meant to the ancient communities that produced and lived by them. He then helps us to discover the meaning of these stories, providing the knowledge and perspective to make the wisdom of the Bible an essential part of our modern lives. The author argues that the conventional way of seeing the Bible's origin, authority, and interpretation has become unpersuasive to millions of people in our time, and that we need a fresh way of encountering the Bible that takes the texts seriously but not literally, even as it takes seriously who we have become. Borg traces his personal spiritual journey, describing for readers how he moved from an unquestioning childhood belief in the biblical stories to a more powerful and dynamic relationship with the Bible as a sacred text brimming with meaning and guidance. Using his own experience as an example, he reveals how the modern crisis of faith is itself rooted in the misinterpretation of sacred texts as historical record and divine dictation, and opens readers to a truer, more abundant perspective. This unique book invites everyone—whatever one's religious background—to engage the Bible, wrestle with its meaning, explore its mysteries, and understand its relevance. Borg shows us how to encounter the Bible in a fresh way that rejects the limits of simple literalism and opens up rich possibilities for our lives.",,321,2002,Taking the Bible Seriously but Not Literally,60609192,9780060609191
The Treasure Principle,Randy Alcorn,Religion,http://books.google.com/books/content?id=_PFyysVnTaQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,3892,"Bestselling author Randy Alcorn uncovers the revolutionary key to spiritual transformation: joyful giving! Jesus' life-changing formula guarantees not only kingdom impact, but immediate pleasure and eternal rewards.",,120,2005,,1590525086,9781590525081
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,http://books.google.com/books/content?id=-_ieWUhA6V4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14,3998,"Of the many recent books on the historical Jesus, none has explored what the latest biblical scholarship means for personal faith. Now, in Meeting Jesus Again for the First Time, Marcus Borg addresses the yearnings of those who want a fully contemporary faith that welcomes rather than oppresses our critical intelligence and openness to the best of historical scholarship. Borg shows how a rigorous examination of historical findings can lead to a new faith in Christ, one that is critical and, at the same time, sustaining. ""Believing in Jesus does not mean believing doctrines about him,"" Borg writes. ""Rather, it means to give one's heart, one's self at its deepest level, to . . . the living Lord."" Drawing on his own journey from a naive, unquestioning belief in Christ through collegiate skepticism to a mature and contemporary Christian faith, Borg illustrates how an understanding of the historical Jesus can actually lead to a more authentic Christian life—one not rooted in creeds or dogma, but in a life of spiritual challenge, compassion, and community. In straightforward, accessible prose, Borg looks at the major findings of modern Jesus scholarship from the perspective of faith, bringing alive the many levels of Jesus' character: spirit person, teacher of alternative wisdom, social prophet, and movement founder. He also reexamines the major stories of the Old Testament vital to an authentic understanding of Jesus, showing how an enriched understanding of these stories can uncover new truths and new pathways to faith. For questioning believers, doubters, and reluctant unbelievers alike, Meeting Jesus Again for the First Time frees our understanding of Jesus' life and message from popular misconceptions and outlines the way to a sound and contemporary faith: ""For ultimately, Jesus is not simply a figure of the past, but a figure of the present. Meeting that Jesus—the living one who comes to us even now—will be like meeting Jesus again for the first time.""",,160,1995,The Historical Jesus and the Heart of Contemporary Faith,60609176,9780060609177
When I Don't Desire God,John Piper,Religion,http://books.google.com/books/content?id=vtQgLN0Aq8YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18,4131,"For over twenty-five years John Piper has trumpeted the truth that “God is most glorified in us when we are most satisfied in him.” He calls it Christian Hedonism. The problem is that many people, after being persuaded, find that this truth is both liberating and devastating. It’s liberating because it endorses our inborn desire for joy. And it’s devastating because it reveals that we don’t desire God the way we should. What do you do when you discover the good news that God wants you to be content in him, but then find that you aren’t? If joy in God were merely the icing on the cake of Christian commitment, this book would be insignificant. But Piper argues that joy is so much more. Our being satisfied in God is necessary to show God’s worthiness and to sustain sacrifices of love. Jesus endured the cross for the joy that was set before him. He tasted it. It sustained him through the deepest suffering. His Father was glorified. His people were saved. That is what joy in God does. The absolutely urgent question becomes: What can I do if I don’t have it? With a pastor’s heart and with radical passion for the glory of Christ, John Piper helps you answer that question.",,268,2004,How to Fight for Joy,1581346522,9781581346527
The Dream Giver,Bruce Wilkinson,Religion,http://books.google.com/books/content?id=z1q3wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.25,4725,A modern-day parable explains how to achieve one's dreams and overcome the obstacles that stand in the way of leading the life God intended.,,157,2003,,159052201X,9781590522011
A Circle of Quiet,Madeleine L'Engle,Religion,http://books.google.com/books/content?id=0r6LtMCHH3wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.21,4985,This journal shares fruitful reflections on life and career prompted by the author's visit to her personal place of retreat near her country home.,,246,1984,,62545035,9780062545039
The Passion of Jesus Christ,John Piper,Religion,http://books.google.com/books/content?id=5eLRwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,6007,"Fifty Reasons Why Jesus Came to Die The most important questions anyone can ask are: Why was Jesus Christ crucified? Why did he suffer so much? What has this to do with me? Finally, who sent him to his death? The answer to the last question is that God did. Jesus was God's Son. The suffering was unsurpassed, but the whole message of the Bible leads to this answer. Why did Christ suffer and die? The central issue of Jesus' death is not the cause, but the meaning-God's meaning. That is what this book is about. John Piper has gathered from the New Testament fifty reasons. Not fifty causes, but fifty purposes-in answer to the most important question that each of us must face: What did God achieve for sinners like us in sending his Son to die?",,127,2004,Fifty Reasons why He Came to Die,1581346085,9781581346084
Chosen by God,R. C. Sproul,Religion,http://books.google.com/books/content?id=PUvgxgm3ZaYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.33,6623,The author presents an analysis of the subject of predestination and the sovereignty of God and offers scriptural references to support his opinion.,,208,1994,,842313354,9780842313353
Shadow of the Almighty,Elisabeth Elliot,Religion,http://books.google.com/books/content?id=QQCG9mNU1eAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.39,6658,The bestselling account of the martyrdom of Jim Elliot and four other missionaries at the hands of the Auca Indians in Ecuador. New introduction by the author.,,272,1989,The Life and Testament of Jim Elliot,006062213X,9780060622138
Life of the Beloved,Henri J. M. Nouwen,Religion,http://books.google.com/books/content?id=j-wJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.29,6893,"When Nouwen was asked by a secular Jewish friend to explain his faith in simple language, he responded with ""Life of the Beloved, "" which shows that all people, believers and nonbelievers, are beloved by God unconditionally.",,160,2002,Spiritual Living in a Secular World,824519868,9780824519865
Mere Christianity,C. S. Lewis,Religion,http://books.google.com/books/content?id=LpHbXdKJaMwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.32,7316,A forceful and accessible discussion of Christian belief that has become one of the most popular introductions to Christianity and one of the most popular of Lewis's books. Uncovers common ground upon which all Christians can stand together.,,227,2001,,60652926,9780060652920
Islam,Karen Armstrong,Religion,http://books.google.com/books/content?id=HIJG0bB5yNQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02,7372,"Traces the history of Islam, from the flight of Muhammad and the founding of the first mosques to the development of the modern Muslim state, and examines its present beliefs and practices.",,230,2002,A Short History,081296618X,9780812966183
In the Name of Jesus,Henri J. M. Nouwen,Religion,http://books.google.com/books/content?id=T9ZZOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.35,7501,"Ruminates on the problems, and possible solutions, in today's Christian leadership, offering a rethinking of how to lead, one based more firmly on divine guidance",,120,1992,Reflections on Christian Leadership,824512596,9780824512590
The Valley of Vision,Arthur Bennett,Religion,http://books.google.com/books/content?id=RJ54MKLeQ3YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.53,8939,"The strength of Puritan character and life lay in prayer and meditation. In this practice the spirit of prayer was regarded as of first importance and the best form of prayer, for living prayer is the characteristic of genuine spirituality. Yet prayer is also vocal and may therefore on occasions be written. Consequently in the Puritan tradition there are many written prayers and meditations which constitute an important corpus of inspiring devotional literature. From this source, Arthur Bennett has distilled the essence of many prayers and set out in modern form what he calls ""aspiration units, the several parts of which could become springboards for the individual's own prayer subjects."" - Back cover.",,223,1975,A Collection of Puritan Prayers and Devotions,851512283,9780851512280
Too Busy Not to Pray,Bill Hybels;LaVonne Neff,Religion,http://books.google.com/books/content?id=xYJ1bl1c3gwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,9313,Most of us have trouble finding time to pray. And then the crises hit! Time for prayer seems impossible to find. The ideas in this practical book can help us to learn to slow down to be with God as well. Also included is a helpful guide for personal and group prayer.,,191,1998,Slowing Down to Be with God,830819711,9780830819713
Having a Mary Heart in a Martha World,Joanna Weaver,Religion,http://books.google.com/books/content?id=IBkmI6dd-ZQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,14170,"A guide for women who struggle between a longing for a deeper spiritual life and the demands of their daily responsibilities offers practical advice on how to balance work and worship, offers guilt-reducing reassurance, and explains how readers can experience less stress and greater joy while strengthening their service. Reissue.",,256,2000,Finding Intimacy with God in the Busyness of Life,1578562589,9781578562589
No God But God,Reza Aslan,Religion,http://books.google.com/books/content?id=ERvuBmZem5oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,16907,"An authoritative study of the Islamic faith in relation to the other world religions sheds new light on its origins and history, from the social reformation role of Muhammad to the impact of fundamentalism and terrorism on Islam. Reprint. 35,000 first printing.",,310,2006,"The Origins, Evolution, and Future of Islam",812971892,9780812971897
Jesus Freaks,DC Talk (Musical group),Religion,http://books.google.com/books/content?id=qfwJvdqZ02gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,18779,Remember the Lord's people who are in jail and be concerned for them. Don't forget those who are suffering but imagine that you are there with them.,,383,1999,Stories of Those who Stood for Jesus : the Ultimate Jesus Freaks,1577780728,9781577780724
The Art of Happiness,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho;Howard C. Cutler,Religion,http://books.google.com/books/content?id=LwDEYUP6X-YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,75417,"Drawing on more that 2,500 years of Buddhist tradition and teaching, the spiritual leader demonstrates how to confront the negative emotions, stresses, and obstacles of everyday life in order to find the source of inner peace.",,336,1998,A Handbook for Living,1573221112,9781573221115
The Screwtape Letters,C. S. Lewis,Religion,http://books.google.com/books/content?id=v1kn7KYynzIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.22,116735,"In this humorous and perceptive exchange between two devils, C. S. Lewis delves into moral questions about good vs. evil, temptation, repentance, and grace. Through this wonderful tale, the reader emerges with a better understanding of what it means to live a faithful life.",,224,2001,,60652896,9780060652890
Mere Christianity,C. S. Lewis,Religion,http://books.google.com/books/content?id=3RJkMgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.32,233819,Discusses the essence of Christian faith and the doctrine of the Trinity.,,191,1996,"Comprising The Case for Christianity, Christian Behaviour, and Beyond Personality",684823780,9780684823782
